,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
0,Australia,2020-06-09 07:33:02,-25.0,133.0,7267.0,102.0,6720.0,445.0,28.543148583840342,,,1.4036053392046235,36,AUS
1,Austria,2020-06-09 07:33:02,47.5162,14.5501,16968.0,672.0,15839.0,457.0,188.39936045478768,,,3.96039603960396,40,AUT
2,Canada,2020-06-09 07:33:02,60.00100000000001,-95.001,97779.0,7910.0,55343.0,34526.0,258.29398170980954,,,8.089671606377648,124,CAN
3,China,2020-06-09 07:33:02,30.5928,114.3055,84195.0,4638.0,79444.0,113.0,5.993907507503883,,,5.50864065562088,156,CHN
4,Denmark,2020-06-09 07:33:02,56.2639,9.5018,12162.0,593.0,10992.0,577.0,209.97192260008842,,,4.875842789014965,208,DNK
5,Finland,2020-06-09 07:33:02,61.9241,25.7482,7001.0,323.0,5800.0,878.0,126.3554651220293,,,4.613626624767889,246,FIN
6,France,2020-06-09 07:33:02,46.2276,2.2137,191313.0,29212.0,71182.0,90919.0,293.09438719951214,,,15.269218505799394,250,FRA
7,Germany,2020-06-09 07:33:02,51.165691,10.451526,186233.0,8727.0,169556.0,7950.0,222.2776690689368,,,4.6860653052896115,276,DEU
8,Iceland,2020-06-09 07:33:02,64.9631,-19.0208,1807.0,10.0,1794.0,3.0,529.5238095238095,,,0.5534034311012729,352,ISL
9,Ireland,2020-06-09 07:33:02,53.1424,-7.6921,25207.0,1683.0,22698.0,826.0,510.4909153800602,,,6.676716785020035,372,IRL
10,Italy,2020-06-09 07:33:02,41.8719,12.5674,235278.0,33964.0,166584.0,34730.0,389.13477773116614,,,14.435688844685865,380,ITA
11,Netherlands,2020-06-09 07:33:02,52.3167,5.55,47945.0,6035.0,181.0,41729.0,279.8094856028405,,,12.587339660027116,528,NLD
12,Norway,2020-06-09 07:33:02,60.472,8.4689,8561.0,239.0,8138.0,184.0,157.9158429009441,,,2.7917299380913443,578,NOR
13,Russia,2020-06-09 07:33:02,61.524,105.3188,476043.0,5963.0,230226.0,239854.0,326.20328330950764,,,1.2526179357747094,643,RUS
14,Sweden,2020-06-09 07:33:02,60.1282,18.6435,45133.0,4694.0,,40439.0,446.8936863753519,,,10.400372233177498,752,SWE
15,Switzerland,2020-06-09 07:33:02,46.8182,8.2275,30972.0,1923.0,28700.0,349.0,357.8667481337709,,,6.208833785354514,756,CHE
16,United Kingdom,2020-06-09 07:33:02,55.0,-3.0,288834.0,40680.0,1255.0,246899.0,425.4691438311791,,,14.084214462286296,826,GBR
17,US,2020-06-09 07:33:02,40.0,-100.0,1961185.0,111007.0,518522.0,1328033.0,595.2612152424714,,,5.660200338060918,840,USA
18,Spain,2020-06-09 07:33:02,40.463667,-3.74922,241717.0,27136.0,150376.0,64205.0,516.9888180210354,,,11.226351477140621,724,ESP
19,Mexico,2020-06-09 07:33:02,23.6345,-102.5528,120102.0,14053.0,87633.0,18416.0,93.98219858121952,,,11.700887578891274,484,MEX
20,Chile,2020-06-09 07:33:02,-35.6751,-71.543,138846.0,2264.0,112248.0,24334.0,726.3260199760318,,,1.6305835241922706,152,CHL
21,Brazil,2020-06-09 07:33:02,-14.235,-51.9253,707412.0,37134.0,378257.0,292021.0,332.8067213434904,,,5.249274821461891,76,BRA
22,Peru,2020-06-09 07:33:02,-9.19,-75.0152,199696.0,5571.0,89556.0,104569.0,605.6561103676147,,,2.7897404054162327,604,PER
23,Colombia,2020-06-09 07:33:02,4.5709,-74.2973,40847.0,1373.0,16459.0,23015.0,80.27650319506259,,,3.3613239650402718,170,COL
24,Japan,2020-06-09 07:33:02,36.204824,138.252924,17060.0,920.0,15043.0,1097.0,13.48867628788276,,,5.3927315357561545,392,JPN
25,Ukraine,2020-06-09 07:33:02,48.3794,31.1656,28471.0,818.0,12874.0,14779.0,65.10073831064922,,,2.8730989427838853,804,UKR
26,Afghanistan,2020-06-09 07:33:02,33.93911,67.709953,21459.0,384.0,2651.0,18424.0,55.12436299301838,,,1.7894589682650637,4,AFG
27,Albania,2020-06-09 07:33:02,41.1533,20.1683,1263.0,34.0,945.0,284.0,43.88769198693446,,,2.6920031670625493,8,ALB
28,Algeria,2020-06-09 07:33:02,28.0339,1.6596,10265.0,715.0,6799.0,2751.0,23.408793264050754,,,6.965416463711642,12,DZA
29,Andorra,2020-06-09 07:33:02,42.5063,1.5218,852.0,51.0,751.0,50.0,1102.698505144632,,,5.985915492957746,20,AND
30,Angola,2020-06-09 07:33:02,-11.2027,17.8739,92.0,4.0,38.0,50.0,0.27992225950326943,,,4.3478260869565215,24,AGO
31,Antigua and Barbuda,2020-06-09 07:33:02,17.0608,-61.7964,26.0,3.0,20.0,3.0,26.550118454374644,,,11.538461538461537,28,ATG
32,Argentina,2020-06-09 07:33:02,-38.4161,-63.6167,23620.0,693.0,7305.0,15622.0,52.261519920323536,,,2.933954276037257,32,ARG
33,Armenia,2020-06-09 07:33:02,40.0691,45.0382,13675.0,217.0,4451.0,9007.0,461.4890352904968,,,1.5868372943327242,51,ARM
34,Azerbaijan,2020-06-09 07:33:02,40.1431,47.5769,7876.0,93.0,4377.0,3406.0,77.67890385558981,,,1.1808024377856778,31,AZE
35,Bahamas,2020-06-09 07:33:02,25.025885,-78.035889,103.0,11.0,64.0,28.0,26.192123036862235,,,10.679611650485436,44,BHS
36,Bahrain,2020-06-09 07:33:02,26.0275,50.55,15417.0,27.0,10326.0,5064.0,906.0386710492523,,,0.17513134851138354,48,BHR
37,Bangladesh,2020-06-09 07:33:02,23.685,90.3563,68504.0,930.0,14560.0,53014.0,41.59588113825164,,,1.3575849585425668,50,BGD
38,Barbados,2020-06-09 07:33:02,13.1939,-59.5432,92.0,7.0,81.0,4.0,32.0143647062508,,,7.608695652173912,52,BRB
